category,scientific_name,english_name,species_code,notes, ebird_checklist
unconfirmed,,White-headed Marsh Tyrant,https://ebird.org/species/whmtyr1,ya le escribí al observador para que envíe su registro para el reporte 8,https://ebird.org/checklist/S262340675
unconfirmed,,Dark-faced Ground-Tyrant,https://ebird.org/species/dafgrt1,registro publicado por el autor en 2025; cambia estatus en lista 2026,https://ebird.org/checklist/S242889022
unconfirmed,,Pale-billed Hornero,https://ebird.org/species/pabhor2,,
unconfirmed,,Black-whiskered Vireo,https://ebird.org/species/bkwvir,registro publicado en reporte 7; cambia estatus en la lista 2026,https://ebird.org/checklist/S281288582
unconfirmed,,Tree Swallow,https://ebird.org/species/treswa,,
unconfirmed,,Cedar Waxwing,https://ebird.org/species/cedwax,es el mismo único registro que justifica tener esta especie en la lista de Ecuador,https://ebird.org/checklist/S19631174
unconfirmed,,Yellow-headed Blackbird,https://ebird.org/species/yehbla,en el reporte 7 decidimos invalidar este registro; especie removida de la lista 2026,
unconfirmed,,Eastern Meadowlark,https://ebird.org/species/easmea,ya le escribí a Miguel Hipo para que envíe su registro para el reporte 8,https://ebird.org/checklist/S210992209
unconfirmed,,Southern Yellowthroat,https://ebird.org/species/masyel5,discutido como Geothlypis sp. en el reporte 7; en proceso de evaluación,
unconfirmed,,Indigo Bunting,https://ebird.org/species/indbun,cambia el estatus a V en la lista 2026; registro publicado por Cadena et al. 2026,https://ebird.org/checklist/S19630938
unconfirmed,,Gray Seedeater,https://ebird.org/species/grysee1,hay otro registro de Dusan que está en revisión para el reporte 8; contactaré al observador para que permita inclluir también este,https://ebird.org/checklist/S164189794
unconfirmed,,Cinereous Finch,https://ebird.org/species/ciwfin1,,
